source,target,net_flow,net_flow_2014,net_flow_2015,net_flow_2016,net_flow_2017,net_flow_2018,net_flow_2019,net_flow_2020,net_flow_2021,source_category,target_category
handle0,handle1,0.004030140128008603,0.2544052563486111,0.04227810565520194,0.06653905020527327,0.10426159079597247,0.020423783465822434,0.1729348941701073,0.004668137833070642,0.00396199138090133,left,left
handle0,handle2,0.07334818624981106,0.04560439248152697,0.1949162944860443,0.1577435200412826,0.08918496576865165,0.007550383006670828,0.2702171644505563,0.03840399642903074,0.06731786039924055,left,centre
handle0,handle3,0.08042157884051564,0.35910100072895,0.018786580077522173,0.02537938465178128,0.1977065124874168,0.07481013610593047,0.019068873798275827,0.30294798349345203,0.00044373123908897046,left,right
handle0,handle4,0.01471051168282909,0.35710303126324394,0.018586960522427205,0.16015034300221798,0.007568932840345569,0.013430530569542794,0.14888664277610855,0.024191886794672643,0.009210261986659292,left,right
handle0,handle5,0.06485932861852217,0.09440679172490876,0.15618960732888548,0.10116857778066328,0.0018941375320074482,0.25146026648521924,0.047081650222392114,0.03684850921577838,0.01979145148656717,left,left
handle0,handle6,0.013526763348325962,0.19480616783737173,0.12685453823969042,0.04068248215795545,0.22731459765729878,0.0022565025743868836,0.1592412921402759,0.16997818282714297,0.07395055015786015,left,right
handle0,handle7,0.01326598479255911,0.07190905238246775,0.01483350921094827,0.02578095272635098,0.20076241172823586,0.007929070310908401,0.11372949094169461,0.04386695761708528,0.0067581657524652325,left,right
handle0,handle8,0.01803524664036041,0.055444611754310015,0.12534366514374615,0.023885140425517332,0.38420751863112046,0.12828395533615278,0.14018205098977396,0.018776830420270476,0.03238324353788877,left,centre
handle0,handle9,0.25836146249534986,0.2911866597835968,0.3220326519887652,0.00495515290170125,0.24976813301790857,0.10999139860286392,0.006878907522041163,0.08227930959274844,0.023716714717691413,left,right
handle0,handle10,0.020644104229802847,0.17364668993670668,0.007401562500612151,0.12130206849900513,0.08087789714901025,0.021655090747032372,0.06773288846166618,0.01283484706126765,0.015773291442634257,left,centre
handle0,handle11,0.023230635743903362,0.016181490051060145,0.08108756343536766,0.010559543235747253,0.04948532705886841,0.2434958639753119,0.16852534460378168,0.09505351107617105,0.1534263043633116,left,left
handle0,handle12,0.006863268433564016,0.06937923165491254,0.08983329926569228,0.05443430445662096,0.10029249001596402,0.02344646863182519,0.0032199093238397666,0.08984859374688862,0.18655715684041033,left,centre
handle0,handle13,0.023571808444307212,0.08831863747006098,0.10716086512305531,0.22399236538536177,0.2812646344975696,0.05103370862439355,0.901883280371629,0.15892789979212057,0.13611974028661075,left,centre
handle0,handle14,0.12076321558353545,0.3271829949728333,0.19392416307010937,0.10808283417181394,0.06706734233186147,0.16338078317198756,0.0362888540507587,0.11534145811816439,0.0687071397922455,left,right
handle0,handle15,0.0077816024941487275,0.3068189247611607,0.1865333904571017,0.5825970377638231,0.09696399737145993,0.011420405053835894,0.019923795138375708,0.047747784344619376,0.04075864104232482,left,left
handle0,handle16,0.052461155711950494,0.2798240008830791,0.018431432147985004,0.03822334946542941,0.00441449974595188,0.30076166392020237,0.05470903796872911,0.056888008609667605,0.013065252362816568,left,right
handle0,handle17,0.06668564148545117,0.05885981517363543,0.056426712477442194,0.162928397406488,0.10298314422688591,0.14272789202868982,0.01928720775693371,0.024037610656640247,0.0456417818550812,left,right
handle0,handle18,0.05247422019873163,0.07870234223493079,0.1737016898013688,0.44273430105969047,0.1145059917060496,0.29292691001906473,0.10236970151413516,0.1463119192553059,0.004060233245689418,left,centre
handle0,handle19,0.05273764875866409,0.3234380118019555,0.016029975102471623,0.20840743017851646,0.1604334493163713,0.030914830992657384,0.09796532791205252,0.11306478825727478,0.19492200621799477,left,right
handle0,handle20,0.08329689237301714,0.17390167981084367,0.00494721476599267,0.2520746542551895,0.3655941961388606,0.3096819239616773,0.03689259199581557,0.13144836072376073,0.038916017569574315,left,left
handle0,handle21,0.02062143708575662,0.14689443792488852,0.028161144066820226,0.0126351846034445,0.05585319839079119,0.001313873069227737,0.042632282983289645,0.07066936671888822,0.004757915383975123,left,centre
handle0,handle22,0.08801058398356909,0.043995075453013135,0.08586243644939096,0.06481007724268484,0.03437247964766622,0.008416897034619144,0.029211591921296905,0.09958306984247835,0.04277892055945119,left,right
handle0,handle23,0.18155252614737719,0.038442963315345004,0.11305137672659224,0.06967776987652413,0.001835444599250161,0.19788520000727092,0.10963169837681182,0.0464982516135898,0.012171027487988297,left,right
